,title,date,url,data_page_datail,cidade,local,tipo_evento
0,Desenho Jovem,08/07/1980,https://enciclopedia.itaucultural.org.br/evento81619/desenho-jovem,08.07.1980,Brasil / São Paulo / São Paulo , Museu de Arte Contemporânea da Universidade de São Paulo (MAC/USP),Coletiva
1,12º Panorama de Arte Atual Brasileira,13/11/1980,https://enciclopedia.itaucultural.org.br/evento225959/12-panorama-de-arte-atual-brasileira,13.11.1980 - 01.1981,Brasil / São Paulo / São Paulo , Museu de Arte Moderna de São Paulo (MAM/SP),Exposição
2,Leonilson e Luiz Zerbini,1980,https://enciclopedia.itaucultural.org.br/evento249348/leonilson-e-luiz-zerbini,1980,Brasil / São Paulo / São Paulo ," Teatro Lira Paulistana (São Paulo, SP)",Coletiva
3,Individual de Leonilson,1981,https://enciclopedia.itaucultural.org.br/evento249293/individual-de-leonilson,1981,Espanha / Madri / Madri,,Individual
4,Giovane Arte Internazionale ,1981,https://enciclopedia.itaucultural.org.br/evento249349/giovane-arte-internazionale,1981,Itália / Lombardia / Lecco ," Galleria Giuli (Lecco, Itália)",Coletiva
5,Leonilson e Luiz Zerbini,1981,https://enciclopedia.itaucultural.org.br/evento249353/leonilson-e-luiz-zerbini,1981,Espanha / Madri / Madri ," Galeria de Arte da Casa do Brasil (Madri, Espanha)",Coletiva
6,Individual de Leonilson,1982,https://enciclopedia.itaucultural.org.br/evento249294/individual-de-leonilson,1982,Itália / Emília Romana / Bolonha ," Galleria Pellegrino (Bolonha, Itália)",Individual
7,À Flor da Pele: pintura e prazer,02/05/1983,https://enciclopedia.itaucultural.org.br/evento249290/a-flor-da-pele-pintura-e-prazer,02.05.1983 - 23.05.1983,Brasil / Rio de Janeiro / Rio de Janeiro , Galeria do Centro Empresarial Rio,Coletiva
8,Individual de Leonilson ,17/05/1983,https://enciclopedia.itaucultural.org.br/evento249295/individual-de-leonilson,17.05.1983 - 10.06.1983,Brasil / São Paulo / São Paulo , Galeria Luisa Strina,Individual
9,13 Artistas/13 Obras,09/08/1983,https://enciclopedia.itaucultural.org.br/evento249195/13-artistas-13-obras,09.08.1983 - 24.08.1983,Brasil / Rio de Janeiro / Rio de Janeiro , Thomas Cohn Arte Contemporânea,Exposição
10,Individual de Leonilson ,05/10/1983,https://enciclopedia.itaucultural.org.br/evento249278/individual-de-leonilson,05.10.1983,Brasil / Rio Grande do Sul / Porto Alegre , Galeria Tina Zappoli,Individual
11,6º Salão Nacional de Artes Plásticas,02/12/1983,https://enciclopedia.itaucultural.org.br/evento235535/6-salao-nacional-de-artes-plasticas,02.12.1983 - 06.01.1984,Brasil / Rio de Janeiro / Rio de Janeiro , Museu de Arte Moderna do Rio de Janeiro (MAM/RJ),6º Salão Nacional da Aiba
12,Individual de Leonilson,1983,https://enciclopedia.itaucultural.org.br/evento249296/individual-de-leonilson,1983,Brasil / Rio de Janeiro / Rio de Janeiro , Thomas Cohn Arte Contemporânea,Individual
13,Brasil Pintura,1983,https://enciclopedia.itaucultural.org.br/evento249354/brasil-pintura,1983,Brasil / Minas Gerais / Belo Horizonte , Fundação Clóvis Salgado. Palácio das Artes ,Exposição
14,Papel,1983,https://enciclopedia.itaucultural.org.br/evento249357/papel,1983,Brasil / Rio de Janeiro / Rio de Janeiro , Thomas Cohn Arte Contemporânea,Coletiva
15,Arte na Rua,1983,https://enciclopedia.itaucultural.org.br/evento86408/arte-na-rua,1983 - 1983,Brasil / São Paulo / São Paulo , Museu de Arte Contemporânea da Universidade de São Paulo (MAC/USP),"
            Classificação
            
Exposição

"
