,ano,qtd,cumulativo
34,1980,3,3
35,1981,3,6
39,1982,1,7
6,1983,9,16
18,1984,7,23
16,1985,7,30
20,1986,7,37
23,1987,6,43
8,1988,9,52
14,1989,7,59
26,1990,5,64
15,1991,7,71
5,1992,10,81
2,1993,13,94
12,1994,8,102
7,1995,9,111
19,1996,7,118
3,1997,13,131
1,1998,14,145
37,1999,1,146
13,2000,8,154
9,2001,8,162
4,2002,11,173
0,2003,16,189
27,2004,5,194
22,2005,6,200
32,2006,4,204
33,2007,3,207
17,2008,7,214
10,2009,8,222
30,2010,4,226
11,2011,8,234
41,2012,1,235
29,2013,4,239
21,2014,6,245
31,2015,4,249
36,2016,2,251
25,2017,5,256
24,2018,5,261
28,2019,4,265
38,2020,1,266
40,2021,1,267
