,Resultado,Oponente,Método,"Round, Duração",Data,Idade,Local,dtg,lat,lng
62,Vitória,Tunney Hunsaker,Decisão (unânime),6 (6),29 de outubro de 1960,,"Louisville, KY",1960-10-29,38.2526647,-85.7584557
61,Vitória,Herb Siler,KO,4 (8),27 de dezembro de 1960,,"Miami, FL",1960-12-27,25.7616798,-80.1917902
60,Vitória,Tony Esperti,TKO,"3 (8), 1:30",17 de janeiro de 1961,,"Miami, FL",1961-01-17,25.7616798,-80.1917902
59,Vitória,Jim Robinson,KO,"1 (8), 1:34",7 de fevereiro de 1961,,"Miami Beach, FL",1961-02-07,25.790654,-80.1300455
58,Vitória,Donnie Fleeman,TKO,7 (8),21 de fevereiro de 1961,,"Miami Beach, FL",1961-02-21,25.790654,-80.1300455
57,Vitória,LaMar Clark,KO,"2 (10), 1:27",19 de abril de 1961,,"Louisville, KY",1961-04-19,38.2526647,-85.7584557
56,Vitória,Duke Sabedong,Decisão (unânime),10 (10),26 de junho de 1961,,"Las Vegas, NV",1961-06-26,36.1699412,-115.1398296
55,Vitória,Alonzo Johnson,Decisão (unânime),10 (10),22 de julho de 1961,,"Louisville, KY",1961-07-22,38.2526647,-85.7584557
54,Vitória,Alex Miteff,TKO,"6 (10), 1:45",7 de outubro de 1961,,"Louisville, KY",1961-10-07,38.2526647,-85.7584557
53,Vitória,Willi Besmanoff,TKO,"7 (10), 1:55",29 de novembro de 1961,,"Louisville, KY",1961-11-29,38.2526647,-85.7584557
52,Vitória,Sonny Banks,TKO,"4 (10), 0:26",10 de fevereiro de 1962,,"New York City, NY",1962-02-10,40.7127753,-74.0059728
51,Vitória,Don Warner,TKO,"4, 0:34",28 de março de 1962,,"Miami Beach, FL",1962-03-28,25.790654,-80.1300455
50,Vitória,George Logan,TKO,"4 (10), 1:34",23 de abril de 1962,,"New York City, NY",1962-04-23,40.7127753,-74.0059728
49,Vitória,Billy Daniels,TKO,"7 (10), 2:21",19 de maio de 1962,,"New York City, NY",1962-05-19,40.7127753,-74.0059728
48,Vitória,Alejandro Lavorante,KO,"5 (10), 1:48",20 de julho de 1962,,"Los Angeles, CA",1962-07-20,34.0522342,-118.2436849
47,Vitória,Archie Moore,TKO,"4 (10), 1:35",15 de novembro de 1962,,"Los Angeles, CA",1962-11-15,34.0522342,-118.2436849
46,Vitória,Charley Powell,KO,"3, 2:04",24 de janeiro de 1963,,"Pittsburgh, PA",1963-01-24,40.44062479999999,-79.9958864
45,Vitória,Doug Jones,Decisão (unânime),10 (10),13 de março de 1963,,"New York City, NY",1963-03-13,40.7127753,-74.0059728
44,Vitória,Henry Cooper,TKO,"5 (10), 2:15",18 de junho de 1963,,"Londres, Inglaterra",1963-06-18,51.5072178,-0.1275862
43,Vitória,Sonny Liston,TKO,7 (15),25 de fevereiro de 1964,,"Miami, FL",1964-02-25,25.7616798,-80.1917902
42,Vitória,Sonny Liston,KO,"1 (15), 2:12",25 de maio de 1965,,"Lewiston, ME",1965-05-25,44.100351,-70.21477639999999
41,Vitória,Floyd Patterson,TKO,"12 (15), 2:18",22 de novembro de 1965,,"Las Vegas, NV",1965-11-22,36.1699412,-115.1398296
40,Vitória,George Chuvalo,Decisão (unânime),15 (15),29 de março de 1966,,"Toronto, Canada",1966-03-29,43.653226,-79.3831843
39,Vitória,Henry Cooper,TKO,"6 (15), 1:38",21 de maio de 1966,,"Londres, Inglaterra",1966-05-21,51.5072178,-0.1275862
38,Vitória,Brian London,KO,3 (15),6 de agosto de 1966,,"Londres, Inglaterra",1966-08-06,51.5072178,-0.1275862
37,Vitória,Karl Mildenberger,TKO,12 (15),10 de setembro de 1966,,"Frankfurt, Alemanha Ocidental",1966-09-10,50.1109221,8.6821267
36,Vitória,Cleveland Williams,TKO,3 (15),14 de novembro de 1966,,"Houston, TX",1966-11-14,29.7604267,-95.3698028
35,Vitória,Ernie Terrell,Decisão (unânime),15 (15),6 de fevereiro de 1967,,"Houston, TX",1967-02-06,29.7604267,-95.3698028
