ano;local;titulo;destaque
1950;Fortaleza CE;6º Salão de Abril;menção honrosa
1951;Fortaleza CE;7º Salão de Abril;menção honrosa
1956;São Paulo SP;5º Salão Paulista de Arte Moderna, na Galeria Prestes Maia;prêmio aquisição
1957;Cracóvia (Polônia);5ª Exposição Internacional de Cracóvia
1957;Fortaleza CE;Salão Nacional de Artes Plásticas;1º prêmio
1957;São Paulo SP;6º Salão Paulista de Arte Moderna, na Galeria Prestes Maia;prêmio aquisição e medalha de bronze
1959;Paris (França);Salon Le Trait, na Sala Balzac
1959;São Paulo SP;5ª Bienal Internacional de São Paulo, no Pavilhão Ciccilo Matarazzo Sobrinho
1960;Paris (França);Jeune Gravure Contemporaine
1961;Paris (França);Salão de Maio
1961;São Paulo SP;6ª Bienal Internacional de São Paulo, no Pavilhão Ciccilo Matarazzo Sobrinho
1962;Amsterdã (Holanda);Arte de América y España
1962;Barcelona (Espanha);Arte de América y España
1962;Berna (Suíça);Arte de América y España
1962;Bruxelas (Bélgica);Arte de América y España
1962;Madri (Espanha);Arte de América y España
1962;Milão (Itália);Arte de América y España
1962;Munique (Alemanha);Arte de América y España
1962;Paris (França);Arte de América y España
1962;Paris (França);Gravadores Brasileiros, na Galeria Valérie Schmidt
1962;Paris (França);Salon Le Trait, no Musée d'Art Moderne de la Ville de Paris
1962;São Paulo SP;Seleção de Obras de Arte Brasileira da Coleção Ernesto Wolf, no MAM/SP
1963;São Paulo SP;7ª Bienal Internacional de São Paulo, na Fundação Bienal
1965;Cracóvia (Polônia);5ª Exposição Internacional de Gravura
1965;Paris (França);Grands et Jeunes d'Aujourd'hui
1966;Cracóvia (Polônia);6ª Exposição Internacional de Gravura
1966;Florença (Itália);2ª Bienal de Gráfica
1966;Havana (Cuba);Exposição de Havana
1966;Madri (Espanha);Gravadores de Paris
1966;Paris (França);Artistas Latino-Americanos de Paris
1966;Viana do Castelo (Portugal);Festival de Viana do Castelo
1967;Cracóvia (Polônia);7ª Exposição Internacional de Gravura
1967;Milão (Itália);14ª Trienal de Milão
1968;Menton (França);Bienal de Menton
1968;Nottingham (Inglaterra);Six Latin American Countries, na Midland Art Group Gallery
1969;Menton (França);Arte Gráfica Século XX
1969;Oregon (Estados Unidos);Gravadores Contemporâneos, na Universidade de Oregon
1970;Cracóvia (Polônia);Exposição Internacional de Gravura
1970;Florença (Itália);2ª Biennalle Internazionale della Gráfica d'Arte
1970;Paris (França);Salon des Realités Nouvelles
1970;Spoleto (Itália);5º Festivale dei Due Mondi
1970;Zurique (Suíça);La Peu du Lion, na Kunsthaus Zürich
1971;Genebra (Suíça);A Gravura da América
1971;São Paulo SP;3º Panorama de Arte Atual Brasileira, no MAM/SP
1972;Montbéliard (França);A Arte da Multiplicação
1972;Paris (França);2000 Anos de Ourivesaria Francesa: do galo romano ao pop art
1972;Paris (França);Criações e Técnicas, na Galerie Christofle
1972;São Paulo SP;6ª Jovem Arte Contemporânea, no MAC/USP
1972;St. Etienne (França);René Bertholo, Lourdes Castro, Esmeraldo, Guidot, no Museu de St. Etienne
1972;Veneza (Itália);2000 Anos de Ourivesaria Francesa: do galo romano ao pop art
1973;Paris (França);Semaine Latino-Américaine de Paris, na Galerie Cefral
1974;Paris (França);A Idéia e a Matéria, na Galerie Denise Rene
1974;Paris (França);Salon Comparaisons
1974;San Juan (Porto Rico);Bienal de San Juan del Grabado Latino-Americano y del Caribe
1974;San Juan (Puerto Rico);3ª Bienal de San Juan del Grabado Latinoamericano y del Caribe, no Instituto de Cultura Puertorriqueña
1974;São Paulo SP;Panorama de Arte Atual Brasileira, no MAM/SP
1974;São Paulo SP;Prospectiva' 74, no MAC/USP
1975;Palazzolo (Itália);De Alexandris, Morandini, Esmeraldo e Sircana, na Galeria F22
1978;São Paulo SP;10º Panorama de Arte Atual Brasileira, no MAM/SP
1979;Paris (França);Coleção Marius Rey, no CNAC
1979;Rio de Janeiro RJ;Escultores Brasileiros, na Galeria Aktuell
