ano;local;titulo
1951;Crato CE;Sociedade de Cultura Artística
1956;São Paulo SP;Clube dos Artistas Modernos
1957;Fortaleza CE;UFCE
1957;São Paulo SP,MAM/SP
1960;Recife PE;Galeria Lemac
1961;Lausanne (Suíça);Galerie Maurice Bridel
1961;Paris (França);Galerie La Hune
1961;Salvador BA;MAM/BA
1962;Fortaleza CE;MAUC
1962;Recife PE;Galeria de Arte do Recife
1962;Rio de Janeiro RJ;Galeria Relevo
1962;Salvador BA;MAM/BA
1963;Lausanne (Suíça);Galeria Maurice Bridel
1964;Veneza (Itália);Galleria Il Canale
1966;Lisboa (Portugal);Galeria Gravura
1966;Milão (Itália);Instituto Brasil-Itália
1966;Paris (França);Galerie Nouvelle Gravure
1967;Belo Horizonte MG;Galeria Itatiaia
1967;Fortaleza CE;MAUC
1968;Lausanne (Suíça);Galeria Maurice Brindel
1969;São Paulo SP;Galeria Cosme Velho
1971;Cannet-Plage (França);Galerie La Pierre de Lune
1971;Lausanne (Suíça);White Gallery
1971;Lion (França);Galerie 32
1971;Paris (França);Galerie La Pochade
1971;Le Cannet (França);Galerie La Pierre de Lune
1973;Fortaleza CE;Galerie Ignez Fiuza
1974;Collioure (França);Sérvulo Esmeraldo: gravuras 1953 a 1973, na Galerie Sanguine Art
1975;Brasília DF;Hotel Nacional
1975;Fortaleza CE;Galerie Ignez Fiuza
1975;Lausanne (Suíça);White Gallery
1975;Lion (França);Galerie 32
1975;Luxemburgo (Luxemburgo);Galerie Paul Bruck
1975;São Paulo SP;Gabinete de Artes Gráficas
1976;Belo Horizonte MG;Fundação Palácio das Artes
1976;Rio de Janeiro RJ;Petite Galeria
1976;São Paulo SP;Gabinete de Artes Gráficas
1977;Belo Horizonte MG;Galeria Memória
1977;Crato CE;Sociedade de Cultura Artística
1977;Recife PE;Gatsby Arte
1979;Bogotá (Colômbia);Centro Venezoelano de Cultura
1979;São Luís MA;Hotel Quatro Rodas
1980;Fortaleza CE;Sérvulo Esmeraldo: escultura, na Galerie Ignez Fiuza
1981;Rio de Janeiro RJ;Sérvulo Esmeraldo: esculturas, na Galeria Aktuell
1982;São Paulo SP;Skultura Galeria de Arte
1984;São Paulo SP;Paulo Figueiredo Galeria de Arte
1985;Fortaleza CE;Sérvulo Esmeraldo: trajetória 1947-1985, na Arte Galeria
1986;Fortaleza CE;Arte Galeria
1986;São Paulo SP;Sérvulo Esmeraldo: esculturas, na Skultura Galeria de Arte
1988;Brasília DF;Itaugaleria
1988;Rio de Janeiro RJ;Sérvulo Esmeraldo: gravuras - trajetória, no MNBA
1988;São Paulo SP;Gabinete de Arte Raquel Arnaud
1989;Rio de Janeiro RJ;Sérvulo Esmeraldo: escultura e relevos, na Tríade Galeria
1989;Salvador BA;Sérvulo Esmeraldo: gravuras, no Solar do Unhão
1989;São Paulo SP;Paulo Figueiredo Galeria de Arte
1999;Fortaleza CE;Centro Cultural da Abolição
2001;São Paulo SP;A Linha como Fator Determinante, na Galeria Múltipla de Arte
