,ano,local,titulo,tipo,destaque,lat,lng
0,1950,Fortaleza CE,6º Salão de Abril,coletivas,menção honrosa,-3.7327203,-38.5270134
0,1951,Crato CE,Sociedade de Cultura Artística,individuais,,-7.229957199999999,-39.4122984
1,1951,Fortaleza CE,7º Salão de Abril,coletivas,menção honrosa,-3.7327203,-38.5270134
1,1956,São Paulo SP,Clube dos Artistas Modernos,individuais,,-23.5557714,-46.6395571
2,1956,São Paulo SP,"5º Salão Paulista de Arte Moderna, na Galeria Prestes Maia",coletivas,prêmio aquisição,-23.5557714,-46.6395571
2,1957,Fortaleza CE,UFCE,individuais,,-3.7327203,-38.5270134
3,1957,"São Paulo SP,MAM/SP",,individuais,,-23.5878333,-46.65565220000001
4,1957,Fortaleza CE,Salão Nacional de Artes Plásticas,coletivas,1º prêmio,-3.7327203,-38.5270134
3,1957,Cracóvia (Polônia),5ª Exposição Internacional de Cracóvia,coletivas,,50.06465009999999,19.9449799
5,1957,São Paulo SP,"6º Salão Paulista de Arte Moderna, na Galeria Prestes Maia",coletivas,prêmio aquisição e medalha de bronze,-23.5557714,-46.6395571
7,1959,São Paulo SP,"5ª Bienal Internacional de São Paulo, no Pavilhão Ciccilo Matarazzo Sobrinho",coletivas,,-23.5557714,-46.6395571
6,1959,Paris (França),"Salon Le Trait, na Sala Balzac",coletivas,,48.856614,2.3522219
4,1960,Recife PE,Galeria Lemac,individuais,,-8.0577401,-34.8829629
8,1960,Paris (França),Jeune Gravure Contemporaine,coletivas,,48.856614,2.3522219
5,1961,Lausanne (Suíça),Galerie Maurice Bridel,individuais,,46.5196535,6.6322734
6,1961,Paris (França),Galerie La Hune,individuais,,48.856614,2.3522219
7,1961,Salvador BA,MAM/BA,individuais,,-12.9777334,-38.501648
9,1961,Paris (França),Salão de Maio,coletivas,,48.856614,2.3522219
10,1961,São Paulo SP,"6ª Bienal Internacional de São Paulo, no Pavilhão Ciccilo Matarazzo Sobrinho",coletivas,,-23.5557714,-46.6395571
13,1962,Berna (Suíça),Arte de América y España,coletivas,,46.9479739,7.4474468
19,1962,Paris (França),"Gravadores Brasileiros, na Galeria Valérie Schmidt",coletivas,,48.856614,2.3522219
10,1962,Rio de Janeiro RJ,Galeria Relevo,individuais,,-22.9068467,-43.1728965
18,1962,Paris (França),Arte de América y España,coletivas,,48.856614,2.3522219
17,1962,Munique (Alemanha),Arte de América y España,coletivas,,48.1351253,11.5819805
16,1962,Milão (Itália),Arte de América y España,coletivas,,45.4642035,9.189982
15,1962,Madri (Espanha),Arte de América y España,coletivas,,40.4167754,-3.7037902
11,1962,Amsterdã (Holanda),Arte de América y España,coletivas,,52.3675734,4.9041389
11,1962,Salvador BA,MAM/BA,individuais,,-12.9777334,-38.501648
12,1962,Barcelona (Espanha),Arte de América y España,coletivas,,41.3873974,2.168568
20,1962,Paris (França),"Salon Le Trait, no Musée d'Art Moderne de la Ville de Paris",coletivas,,48.856614,2.3522219
9,1962,Recife PE,Galeria de Arte do Recife,individuais,,-8.0577401,-34.8829629
8,1962,Fortaleza CE,MAUC,individuais,,-3.7327203,-38.5270134
14,1962,Bruxelas (Bélgica),Arte de América y España,coletivas,,50.8476424,4.3571696
21,1962,São Paulo SP,"Seleção de Obras de Arte Brasileira da Coleção Ernesto Wolf, no MAM/SP",coletivas,,-23.5557714,-46.6395571
22,1963,São Paulo SP,"7ª Bienal Internacional de São Paulo, na Fundação Bienal",coletivas,,-23.5557714,-46.6395571
12,1963,Lausanne (Suíça),Galeria Maurice Bridel,individuais,,46.5196535,6.6322734
13,1964,Veneza (Itália),Galleria Il Canale,individuais,,45.4408474,12.3155151
23,1965,Cracóvia (Polônia),5ª Exposição Internacional de Gravura,coletivas,,50.06465009999999,19.9449799
24,1965,Paris (França),Grands et Jeunes d'Aujourd'hui,coletivas,,48.856614,2.3522219
26,1966,Florença (Itália),2ª Bienal de Gráfica,coletivas,,43.7695604,11.2558136
27,1966,Havana (Cuba),Exposição de Havana,coletivas,,23.1135925,-82.3665956
28,1966,Madri (Espanha),Gravadores de Paris,coletivas,,40.4167754,-3.7037902
29,1966,Paris (França),Artistas Latino-Americanos de Paris,coletivas,,48.856614,2.3522219
30,1966,Viana do Castelo (Portugal),Festival de Viana do Castelo,coletivas,,41.6918275,-8.8344101
14,1966,Lisboa (Portugal),Galeria Gravura,individuais,,38.7222524,-9.1393366
15,1966,Milão (Itália),Instituto Brasil-Itália,individuais,,45.4642035,9.189982
16,1966,Paris (França),Galerie Nouvelle Gravure,individuais,,48.856614,2.3522219
25,1966,Cracóvia (Polônia),6ª Exposição Internacional de Gravura,coletivas,,50.06465009999999,19.9449799
17,1967,Belo Horizonte MG,Galeria Itatiaia,individuais,,-19.919052,-43.9386685
18,1967,Fortaleza CE,MAUC,individuais,,-3.7327203,-38.5270134
32,1967,Milão (Itália),14ª Trienal de Milão,coletivas,,45.4642035,9.189982
31,1967,Cracóvia (Polônia),7ª Exposição Internacional de Gravura,coletivas,,50.06465009999999,19.9449799
19,1968,Lausanne (Suíça),Galeria Maurice Brindel,individuais,,46.5196535,6.6322734
34,1968,Nottingham (Inglaterra),"Six Latin American Countries, na Midland Art Group Gallery",coletivas,,52.95478319999999,-1.1581086
33,1968,Menton (França),Bienal de Menton,coletivas,,43.774481,7.497540000000001
20,1969,São Paulo SP,Galeria Cosme Velho,individuais,,-23.5557714,-46.6395571
36,1969,Oregon (Estados Unidos),"Gravadores Contemporâneos, na Universidade de Oregon",coletivas,,43.8041334,-120.5542012
35,1969,Menton (França),Arte Gráfica Século XX,coletivas,,43.774481,7.497540000000001
37,1970,Cracóvia (Polônia),Exposição Internacional de Gravura,coletivas,,50.06465009999999,19.9449799
40,1970,Spoleto (Itália),5º Festivale dei Due Mondi,coletivas,,42.7404881,12.7378003
41,1970,Zurique (Suíça),"La Peu du Lion, na Kunsthaus Zürich",coletivas,,47.3768866,8.541694
38,1970,Florença (Itália),2ª Biennalle Internazionale della Gráfica d'Arte,coletivas,,43.7695604,11.2558136
39,1970,Paris (França),Salon des Realités Nouvelles,coletivas,,48.856614,2.3522219
42,1971,Genebra (Suíça),A Gravura da América,coletivas,,46.2043907,6.1431577
43,1971,São Paulo SP,"3º Panorama de Arte Atual Brasileira, no MAM/SP",coletivas,,-23.5557714,-46.6395571
21,1971,Cannet-Plage (França),Galerie La Pierre de Lune,individuais,,42.706091,3.009898
22,1971,Lausanne (Suíça),White Gallery,individuais,,46.5196535,6.6322734
23,1971,Lion (França),Galerie 32,individuais,,45.764043,4.835659
24,1971,Paris (França),Galerie La Pochade,individuais,,48.856614,2.3522219
25,1971,Le Cannet (França),Galerie La Pierre de Lune,individuais,,43.57655099999999,7.019019999999999
49,1972,Veneza (Itália),2000 Anos de Ourivesaria Francesa: do galo romano ao pop art,coletivas,,45.4408474,12.3155151
